ID;N_VICTIMAS;FECHA;AAAA;MM;DD;HORA;HH;LUGAR_DEL_HECHO;TIPO_DE_CALLE;Calle;Altura;Cruce;Direcci�n Normalizada;COMUNA;XY (CABA);pos x;pos y;PARTICIPANTES;VICTIMA;ACUSADO
2016-0052;1;20/04/2016;2016;4;20;20:00:00;20;AUTOPISTA LUGONES PK 10000;AUTOPISTA;LUGONES, LEOPOLDO AV.;;;;13;Point (. .);.;.;MOTO-SD;MOTO;SD
2016-0053;1;22/04/2016;2016;4;22;9:30:00;9;AV TRIUNVIRATO Y AV OLAZABAL;AVENIDA;TRIUNVIRATO AV.;;OLAZABAL AV.;TRIUNVIRATO AV. y OLAZABAL AV.;12;Point (98073.80557770 105955.73972818);-5.848.429.180;-34.57558053;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0054;1;23/04/2016;2016;4;23;21:00:00;21;AU LUIS DELLEPIANE Y AV GRAL PAZ;AUTOPISTA;AUTOPISTA DELLEPIANE LUIS TTE. GRAL.;;PAZ, GRAL. AV.;AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.;8;Point (97832.57143731 93489.83736533);-5.848.695.354;-34.68795245;MOTO-MOTO;MOTO;MOTO
2016-0055;1;25/04/2016;2016;4;25;20:30:00;20;RAMON CASTILLA Y AV FIGUEROA ALCORTA;AVENIDA;CASTILLA, RAMON, MARISCAL;;FIGUEROA ALCORTA, PRES. AV.;CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.;14;Point (105787.74102401 105502.98340149);-5.840.021.959;-34.57964781;PEATON-CARGAS;PEATON;CARGAS
2016-0056;1;26/04/2016;2016;4;26;4:45:00;4;AV LUIS MARIA CAMPOS 30;AVENIDA;CAMPOS, LUIS M. AV.;30;;CAMPOS, LUIS M. AV. 30;14;Point (103094.06446966 105842.29634122);-5.842.957.885;-34.57660058;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2016-0058;1;4/05/2016;2016;5;4;14:00:00;14;LIMA 1471;CALLE;LIMA;1471;;LIMA 1471;1;Point (107411.76356149 100408.31441284);-5.838.247.542;-34.62556293;PEATON-MOTO;PEATON;MOTO
2016-0059;1;8/05/2016;2016;5;8;16:30:00;16;PASAJE CIUDADELA Y LIMA OESTE;CALLE;CIUDADELA;;LIMA;CIUDADELA y LIMA;1;Point (107434.83290791 100217.70308007);-5.838.222.219;-34.62728101;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0064;1;14/05/2016;2016;5;14;18:11:00;18;AV JUAN B JUSTO Y AV CARRASCO;AVENIDA;JUSTO, JUAN B. AV.;;CARRASCO AV.;JUSTO, JUAN B. AV. y CARRASCO AV.;10;Point (97106.70264812 99970.19547024);-5.849.485.242;-34.62953445;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0065;1;20/05/2016;2016;5;20;14:40:00;14;AV GAONA Y ESPINOSA;AVENIDA;GAONA AV.;;ESPINOSA;GAONA AV. y ESPINOSA;6;Point (101010.75965434 102062.18185970);-5.845.227.946;-34.61068024;PEATON-AUTO;PEATON;AUTO
2016-0067;1;21/05/2016;2016;5;21;17:00:00;17;AV LISANDRO DE LA TORRE Y SARAZA;AVENIDA;DE LA TORRE, LISANDRO;;SARAZA;DE LA TORRE, LISANDRO y SARAZA;8;Point (98052.13008621 94912.60873025);-5.848.455.411;-34.67512760;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0068;1;22/05/2016;2016;5;22;22:00:00;22;AV FIGUEROA ALCORTA Y AV PUEYRREDON;AVENIDA;FIGUEROA ALCORTA, PRES. AV.;;PUEYRREDON AV.;FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.;2;Point (106673.12856878 104998.99234220);-5.839.056.593;-34.58418569;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0069;1;23/05/2016;2016;5;23;3:30:00;3;AV ENTRE RIOS Y PASAJE FILIBERTO;AVENIDA;ENTRE RIOS AV.;;FILIBERTO;ENTRE RIOS AV. y FILIBERTO;3;Point (106612.54991859 100244.75667446);-5.839.118.948;-34.62704273;AUTO-CARGAS;AUTO;CARGAS
2016-0073;1;11/06/2016;2016;6;11;15:00:00;15;MAGARI�OS CERVANTES 3900;CALLE;MAGARI?OS CERVANTES, A.;3900;;MAGARIÑOS CERVANTES, A. 3900;10;Point (97531.24792840 101000.15957301);-5.849.021.952;-34.62025108;MOTO-CARGAS;MOTO;CARGAS
2016-0074;1;12/06/2016;2016;6;12;6:40:00;6;AV GRAL PAZ Y RODOLFO SCAPINO;GRAL PAZ;PAZ, GRAL. AV.;;SCAPINO, RODOLFO;PAZ, GRAL. AV. y SCAPINO, RODOLFO;8;Point (96731.44252651 94668.88351657);-5.849.896.559;-34.67732118;AUTO-AUTO;AUTO;AUTO
2016-0075;1;12/06/2016;2016;6;12;23:13:00;23;AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA;AUTOPISTA;AUTOPISTA DELLEPIANE LUIS TTE. GRAL.;;MIRALLA;AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA;8;Point (98963.32962830 95620.61360192);-5.847.461.076;-34.66874679;PEATON-AUTO;PEATON;AUTO
2016-0076;1;13/06/2016;2016;6;13;16:20:00;16;AV SAN MARTIN Y CAMARONES;AVENIDA;SAN MARTIN AV.;;CAMARONES;SAN MARTIN AV. y CAMARONES;15;Point (100109.22264405 102851.86942760);-5.846.210.891;-34.60356211;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0077;1;13/06/2016;2016;6;13;21:52:00;21;TTEG JUAN D PERON Y AVDA LEANDRO N ALEM;AVENIDA;PERON, JUAN DOMINGO, TTE. GENERAL;;ALEM, LEANDRO N. AV.;PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.;1;Point (108532.37320501 102648.40418720);-5.837.027.770;-34.60536123;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0078;1;13/06/2016;2016;6;13;23:01:00;23;AV BELGRANO Y AV JUJUY;AVENIDA;BELGRANO AV.;;JUJUY AV.;BELGRANO AV. y JUJUY AV.;3;Point (105354.74322032 101621.63182427);-5.840.491.455;-34.61463830;MOTO-MOTO;MOTO;MOTO
2016-0079;1;16/06/2016;2016;6;16;17:13:00;17;AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO;AVENIDA;DEL LIBERTADOR AV.;;UDAONDO, GUILLERMO AV.;DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.;13;Point (100757.94817512 108943.96108781);-5.845.504.154;-34.54864492;AUTO-AUTO;AUTO;AUTO
2016-0080;1;18/06/2016;2016;6;18;6:42:00;6;AV GRAL PAZ Y AV RIVADAVIA;GRAL PAZ;PAZ, GRAL. AV.;;RIVADAVIA AV.;PAZ, GRAL. AV. y RIVADAVIA AV.;9;Point (93950.50587297 98883.37644525);-5.852.927.982;-34.63931752;AUTO-SD;AUTO;SD
2016-0081;1;22/06/2016;2016;6;22;7:42:00;7;AV CRISOLOGO LARRALDE Y MACHAIN;AVENIDA;LARRALDE, CRISOLOGO AV.;;MACHAIN;LARRALDE, CRISOLOGO AV. y MACHAIN;12;Point (97805.54034401 107789.89169078);-5.848.721.060;-34.55904606;MOTO-AUTO;MOTO;AUTO
2016-0082;1;27/06/2016;2016;6;27;18:24:00;18;AV LA PLATA 2384;AVENIDA;LA PLATA AV.;2384;;LA PLATA AV. 2384;4;Point (103719.51591058 98555.13443768);-5.842.273.092;-34.64228803;PEATON-AUTO;PEATON;AUTO
2016-0083;1;28/06/2016;2016;6;28;20:46:00;20;AV JUAN B ALBERDI Y PUAN;AVENIDA;ALBERDI, JUAN BAUTISTA AV.;;PUAN;ALBERDI, JUAN BAUTISTA AV. y PUAN;6;Point (101413.41644585 100430.31523295);-5.844.788.671;-34.62539009;PEATON-MOTO;PEATON;MOTO
2016-0084;1;29/06/2016;2016;6;29;22:00:00;22;CARLOS PELLEGRINI Y TUCUMAN;CALLE;PELLEGRINI, CARLOS;;TUCUMAN;PELLEGRINI, CARLOS y TUCUMAN;1;Point (107539.54864414 103093.65031518);-5.838.110.563;-34.60135531;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0085;1;29/06/2016;2016;6;29;22:00:00;22;AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO;AVENIDA;RABANAL, FRANCISCO, INTENDENTE AV.;;EREZCANO;RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO;4;Point (103621.92252760 96885.28433165);-5.842.378.834;-34.65734100;MOTO-MOVIL;MOTO;OTRO
2016-0086;1;30/06/2016;2016;6;30;16:10:00;16;AV OLIVERA Y RAMON FALCON;AVENIDA;OLIVERA AV.;;FALCON, RAMON L.,CNEL.;OLIVERA AV. y FALCON, RAMON L.,CNEL.;10;Point (97801.31825511 99194.93911759);-5.848.727.942;-34.63652467;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0087;1;2/07/2016;2016;7;3;0:10:00;0;AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;;;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.;1;Point (107762.62066736 100018.90176187);-5.837.864.583;-34.62907067;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2016-0088;1;11/07/2016;2016;7;11;15:30:00;15;CERETTI Y NU�EZ;CALLE;CERETTI;;NU?EZ;CERETTI y NUÑEZ;12;Point (96492.89040317 106832.19475660);-5.850.151.750;-34.56767549;PEATON-AUTO;PEATON;AUTO
2016-0089;1;14/07/2016;2016;7;14;6:40:00;6;AV LUGONES Y LA PAMPA;AUTOPISTA;LUGONES, LEOPOLDO AV.;;LA PAMPA;LUGONES, LEOPOLDO AV. y LA PAMPA;13;Point (102842.06561704 108587.10659007);-5.843.233.425;-34.55185825;PEATON-AUTO;PEATON;AUTO
2016-0090;1;14/07/2016;2016;7;14;22:00:00;22;JERONIMO SALGUERO Y AV RIVADAVIA;AVENIDA;SALGUERO, JERONIMO;;RIVADAVIA AV.;SALGUERO, JERONIMO y RIVADAVIA AV.;5;Point (103997.04813615 102012.34139150);-5.841.971.993;-34.61112240;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0092;1;15/07/2016;2016;7;15;11:00:00;11;AV GRAL PAZ Y AV LIBERTADOR ;GRAL PAZ;PAZ, GRAL. AV.;;DEL LIBERTADOR AV.;PAZ, GRAL. AV. y DEL LIBERTADOR AV.;13;Point (99620.34936816 110483.29286598);-5.846.743.471;-34.53476874;MOTO-CARGAS;MOTO;CARGAS
2016-0093;1;17/07/2016;2016;7;17;3:30:00;3;AV JUAN B ALBERDI Y EMILIO MITRE;AVENIDA;ALBERDI, JUAN BAUTISTA AV.;;MITRE, EMILIO;ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO;6;Point (101804.61714036 100693.45218194);-5.844.362.126;-34.62301748;AUTO-AUTO;AUTO;AUTO
2016-0095;1;23/07/2016;2016;7;23;6:12:00;6;MERCEDES Y AV GRAL MOSCONI;AVENIDA;MERCEDES;;MOSCONI GENERAL AV.;MERCEDES y MOSCONI GENERAL AV.;11;Point (95061.77375682 103748.74085597);-5.851.713.095;-34.59546519;MOTO-AUTO;MOTO;AUTO
